,Average MSE
0,0.0003741944722908859
1,0.00037784092031264055
2,0.00037660941598005593
3,0.00037380631450408447
4,0.00037263821286614984
5,0.0003734168712981045
6,0.0003748610373198365
7,0.0003740038033962871
8,0.00036895473992141586
9,0.00037094857058643055
10,0.00036855249588067335
11,0.00035845558159053326
12,0.00034609827465222526
13,0.0003403170897702997
14,0.0003383107590101038
15,0.0003379901754669845
16,0.0003363458332993711
17,0.00033693866377385956
18,0.0003354944783495739
19,0.0003344037055891628
