,Average MSE
0,0.00037688535182193544
1,0.00037233729502380203
2,0.0003403156054749464
3,0.00033876856650749687
4,0.0003360089892036437
5,0.000336603512550937
6,0.0003368290393458058
7,0.0003359478517571309
8,0.0003350141087139491
9,0.0003342116906424053
10,0.0003360767186677549
11,0.0003340031422946292
12,0.0003328739937084417
13,0.0003309651789701699
14,0.0003267322548102432
15,0.00032171303367552656
16,0.0003193844507525985
17,0.0003149097313629075
18,0.0003157998653477989
19,0.0003084608530722714
