,Average MSE
0,0.00037371183376914513
1,0.00037143728938341763
2,0.0003442435117904097
3,0.00033850432131051395
4,0.0003382074628461851
5,0.00033752241991654347
6,0.0003379475880744091
7,0.0003386840386762439
8,0.00033706605366508785
9,0.00033656050194016035
10,0.0003343383941682987
11,0.00033832721843888674
12,0.000333717638568487
13,0.0003371988544434619
14,0.00033787595081472926
15,0.0003379453022110586
16,0.00033606458600843325
17,0.0003316235415695701
18,0.00033732327331866446
19,0.00033824447988687706
