,Average MSE
0,0.00036946418185834773
1,0.00034333006260567345
2,0.00034203315832807374
3,0.0003379706249688752
4,0.00033737131343514193
5,0.0003354080751402459
6,0.00033345420282178867
7,0.0003301565508688024
8,0.00032809358769251656
9,0.00031982075355093304
10,0.000312507851049304
11,0.00031141356339503545
12,0.00030249338609185844
13,0.0002967540907169071
14,0.0002934347758127842
15,0.0002875531936297193
16,0.0002792462413102233
17,0.0002711788492888445
18,0.00026808915329941857
19,0.00025992571196790476
