,Average MSE
0,0.0015222306828945875
1,0.0015725386328995228
2,0.0015673106536269188
3,0.0018444334855303168
4,0.0015247759874910116
5,0.0016274857334792614
6,0.0017260084860026836
7,0.0014530611224472523
8,0.0015614100266247988
9,0.0014084454160183668
10,0.0014958182582631707
11,0.0017561032436788082
12,0.001885056495666504
13,0.0013265088200569153
14,0.0017481781542301178
15,0.0012614690931513906
16,0.0011118535185232759
17,0.0013938568299636245
18,0.001387113588862121
19,0.0014240351738408208
20,0.0015648321714252234
21,0.0017981332493945956
22,0.001489967224188149
23,0.0016640139510855079
