,Average MSE
0,0.00037054968076214817
1,0.00035761767988636467
2,0.00034022287218249403
3,0.0003374147957705039
4,0.00033561961026862264
5,0.00033549527870491147
6,0.0003379986992513295
7,0.00033509995895049843
8,0.0003377624404189798
9,0.0003384733906083663
10,0.0003359912128265326
11,0.0003378342116775457
12,0.00033897584580699913
13,0.0003368843087325028
14,0.0003366108552048293
15,0.0003371757478210687
16,0.0003363906216691248
17,0.00033670152455063845
18,0.00033408900708309375
19,0.00033794385550815303
20,0.0003366946584719699
21,0.00033748890564311296
22,0.0003351059943573394
23,0.00033344672435002093
24,0.00033660084469981183
25,0.00033418920005109004
26,0.0003342385086095116
27,0.00033825187347247265
28,0.00033473977964604273
29,0.00033552871415546787
30,0.0003354291681413694
31,0.0003363157035588908
32,0.0003378114888619166
33,0.00033569378380586085
34,0.000333165968186222
35,0.0003386714900746786
36,0.00033572746663897607
37,0.00033392438975473243
38,0.00033733448678200756
39,0.00033600276947254315
40,0.00033471445203758776
41,0.0003358881070501714
42,0.00033679363574871485
43,0.0003368767126327536
44,0.00033561295761804405
45,0.00033561216696398333
46,0.0003374313588816828
47,0.0003360816056859524
48,0.00033682546321263845
49,0.00033653673259929445
50,0.00033605823409743607
51,0.0003360650213532305
52,0.00033707324594918947
53,0.0003369352913675054
54,0.0003357925731203674
55,0.00033659922519291285
56,0.00033537215009952587
57,0.00033495756118403125
58,0.000336851392906586
59,0.0003345220393384807
60,0.0003356543044598463
61,0.00033666066034735803
62,0.0003348657361736211
63,0.00033505127794342116
64,0.000333545881100387
65,0.0003357096259909061
66,0.0003361480109257779
67,0.0003376796606365436
68,0.00033599010081767727
69,0.00033295710939758766
70,0.00033372334170659695
71,0.0003360189584782347
72,0.0003350892111484427
73,0.0003377759737001422
74,0.00033701085461264785
75,0.00033744555670030724
76,0.0003352460832199237
77,0.0003331504146141621
78,0.0003368224897712935
79,0.000335897635522997
80,0.0003344935297112291
81,0.00033391598844900727
82,0.0003354826852349409
83,0.00033843762988302234
84,0.0003350302188967665
85,0.0003347395601546547
86,0.0003342881706582072
87,0.0003373526269569993
88,0.00033439563048887067
89,0.0003367926789602886
90,0.0003347684505570214
91,0.0003359856988633207
92,0.00033567527498234995
93,0.00033755339730608586
94,0.0003355206366298565
95,0.00033566111596883275
96,0.00033614891435718164
97,0.0003368758916622028
98,0.00033563583686676185
99,0.0003355826035355373
100,0.00033629342093869735
101,0.00033194017548036453
102,0.00033701910069794394
103,0.00033578421668304753
104,0.00033733783978580806
105,0.00033348241534743767
106,0.000337515086963928
107,0.0003367458618110201
108,0.00033421934009917703
109,0.000334069759749885
110,0.000336863466751917
111,0.0003368544494151138
112,0.00033628057038489106
113,0.00033666694192409824
114,0.0003363485557201784
115,0.0003348047788070592
116,0.00033710394078904454
117,0.00033626404547248967
118,0.0003369597725395579
119,0.00033496997032974224
120,0.0003361931157996878
121,0.00033408259150746744
122,0.0003366398814250715
123,0.0003351894568671317
124,0.00033502141256273416
125,0.00033316063369663124
126,0.0003360458273770443
127,0.00033534250906086527
128,0.00033449719315588783
129,0.0003358166710919856
130,0.00033391136397161364
131,0.0003355492566091319
132,0.000335409059819843
133,0.00033291743602603674
134,0.0003357298737682868
135,0.0003362513452884741
136,0.0003376184965115196
137,0.0003364933533399987
138,0.00033714520213834476
139,0.00033584070721796405
140,0.00033831631784172106
141,0.00033844864447019063
142,0.00033706582568508264
143,0.00033734494960905675
144,0.00033692481216955156
145,0.0003361835661053192
146,0.0003349848702782765
147,0.0003332691018537541
148,0.00033418298698961735
149,0.0003360617884027306
150,0.00033496905355908285
151,0.0003333845027858236
152,0.00033778737391306396
153,0.0003351437074646431
154,0.0003360181132544919
155,0.00033474160348608467
156,0.00033503516776060377
157,0.00033846506691285566
158,0.0003361352464708034
159,0.00033674172906709526
160,0.0003349025331165952
161,0.0003341868117180032
162,0.0003360078650681923
163,0.0003359665230770285
164,0.00033653439095360227
165,0.00033720664456874755
166,0.0003363877985975705
167,0.00033457863780010183
168,0.00033559904962506454
169,0.00033687785859607783
170,0.0003372628664995621
171,0.0003364336783609663
172,0.0003348621078960908
173,0.0003354559024349631
174,0.00033737761865874444
175,0.00033704850284266286
176,0.00033726216861396097
177,0.00033617060944379773
178,0.0003350034348841291
179,0.00033483155190576025
180,0.000336744053735553
181,0.0003381696236222827
182,0.0003332554236597692
183,0.00033458228669284534
184,0.000338166280319759
185,0.00033533730917649035
186,0.0003319188447979589
187,0.00033689090802605887
188,0.0003353726788191125
189,0.0003366914861544501
190,0.0003341281772009097
191,0.00033540627555339597
192,0.00033703634774913854
193,0.0003357087637899288
194,0.0003345211795628226
195,0.00033723706898551126
196,0.0003345628228998976
197,0.00033475275874176685
198,0.0003329992408301526
199,0.00033598240406718105
200,0.00033807755304830306
201,0.0003352559251652565
202,0.00033304646058240905
203,0.00033453658640307066
204,0.0003333048261993099
205,0.0003347110881198508
206,0.0003335093182007161
207,0.00033623758584629587
208,0.000336477109764625
209,0.0003381757548292323
210,0.0003345557294475536
211,0.00033720891709284234
212,0.0003341529166694575
213,0.0003358496020761474
214,0.00033770241134334356
215,0.00033580136611514416
216,0.0003354278730209141
217,0.00033586627735833946
218,0.00033184565108967945
219,0.00033912991178416024
220,0.00033561462138701853
221,0.00033389074087608606
222,0.0003366052017857631
223,0.00033419218016206287
224,0.00033590064534413006
225,0.0003348412210470997
226,0.00033111335748496157
227,0.0003367145194109374
228,0.0003342952744181578
229,0.00033377676421271946
230,0.00033443173621587147
231,0.0003358218952295526
232,0.00033516337983504246
233,0.00033287516816926654
234,0.00033415636062272824
235,0.00033407227116792154
236,0.0003364195545145776
237,0.00033398070687932585
238,0.00033250966104484786
239,0.0003336255401033365
240,0.0003331529405841138
241,0.0003353872756027461
242,0.0003350954672593313
243,0.0003315982588295204
244,0.00033629392661775154
245,0.00033442754041364725
246,0.0003332824683942211
247,0.00033563394147980336
248,0.0003340973459368494
249,0.0003351701040325376
250,0.00033641048503341153
251,0.00033512901184925187
252,0.00033526642558475334
253,0.0003328495913592633
254,0.0003355840223472721
255,0.00033526642497842357
256,0.00033384466587449424
257,0.00033308846347305615
258,0.0003340667808515718
259,0.00033353318758599926
260,0.0003340601566984939
261,0.0003320105921981546
262,0.00033490025816718116
263,0.00033173463816638105
264,0.0003331174702907447
265,0.0003352536696183961
266,0.0003348699028720148
267,0.0003332378267562793
268,0.00033472731835596886
269,0.00033504151603362214
270,0.0003356696700696678
271,0.0003349901756640368
272,0.0003341242312065636
273,0.00033184862816900324
274,0.0003342928393976763
