,Average MSE
0,0.00036946418185834773
1,0.00034333006260567345
2,0.00034203315832807374
3,0.0003379706249688752
4,0.00033737131343514193
5,0.0003354080751402459
6,0.00033345420282178867
7,0.0003301565508688024
8,0.00032809358769251656
9,0.00031982075355093304
10,0.000312507851049304
11,0.00031141356339503545
12,0.00030249338609185844
13,0.0002967540907169071
14,0.0002934347758127842
15,0.0002875531936297193
16,0.0002792462413102233
17,0.0002711788492888445
18,0.00026808915329941857
19,0.00025992571196790476
20,0.0002518543569749454
21,0.000248613996518543
22,0.0002382644706813153
23,0.00022975195861363318
24,0.00022233013927082842
25,0.00022023259953130037
26,0.0002154271848363957
27,0.00020777663970269108
28,0.0002039216299939047
29,0.00020027418455962712
30,0.00020114257798316734
31,0.0001940784883724215
32,0.00019265444946843976
33,0.00018058872653152017
34,0.00017579901881011514
35,0.00017123546210010923
36,0.00016717448064203685
37,0.00016168159678879115
38,0.00015445587511446016
39,0.00014694271370293185
40,0.00014142653799353866
41,0.00014002053952329638
42,0.0001367477264769453
43,0.00013097743188457875
44,0.00012843483394438712
45,0.00012309290256477348
46,0.00012252447504579322
47,0.0001207257140170744
48,0.00011613318626283824
49,0.00011251873244570258
50,0.0001079497439301728
51,0.00010554487986761767
52,0.00010223511253570905
53,9.801314172364073e-05
54,9.526775374979479e-05
55,9.49560617300449e-05
56,9.35195854860164e-05
57,9.100100351133733e-05
58,9.186458343416841e-05
59,8.813718856496659e-05
60,8.585408704675501e-05
61,8.34836613042474e-05
62,8.273191239519899e-05
63,8.326674560521496e-05
64,8.106684147909012e-05
65,7.948747103606972e-05
66,7.777324799462804e-05
67,7.591432965152005e-05
68,7.442073031900993e-05
69,7.391180270133191e-05
70,7.204651122568369e-05
71,7.082851516315714e-05
72,7.162661495385692e-05
73,6.901873242289487e-05
74,6.751980663466384e-05
75,6.733101524029432e-05
76,6.622971386605059e-05
77,6.510077855637064e-05
78,6.343476737432259e-05
79,6.279194182449525e-05
80,6.0019421501541124e-05
81,5.864093221437846e-05
82,5.882591616076146e-05
83,5.8398401203400376e-05
84,5.771491881508458e-05
85,5.775419397953859e-05
86,5.7410579150503814e-05
87,5.5803383020247566e-05
88,5.64028834257139e-05
89,5.797327366963145e-05
90,5.699148293084969e-05
91,5.292456080496777e-05
92,5.378480742971684e-05
93,5.276555369467436e-05
94,5.246228101896122e-05
95,5.316449369274778e-05
96,5.131005824902483e-05
97,4.971600840993536e-05
98,4.86061488421304e-05
99,4.8781045279611135e-05
100,4.89208170317094e-05
101,4.770304879760564e-05
102,4.5623291422695424e-05
103,4.7241002296990096e-05
104,4.890971907419347e-05
105,4.7245237055904e-05
106,4.5445872425868096e-05
107,4.5069142439994415e-05
108,4.683243423642125e-05
109,4.749395808782234e-05
110,4.617781163081721e-05
111,4.352589924868274e-05
112,4.304985585198059e-05
113,4.3030971786114e-05
114,4.013259801164774e-05
115,4.0860525283884876e-05
116,3.926262479581055e-05
117,4.256145014854459e-05
118,4.231476865849496e-05
119,4.279886873822155e-05
120,4.226484361424809e-05
121,4.202861214253062e-05
122,4.07347756663512e-05
123,4.001300339950831e-05
124,3.9582796716786106e-05
125,3.9557812897328404e-05
126,3.9717770808541296e-05
127,3.813990360868047e-05
128,3.716021190787918e-05
129,3.758499474315613e-05
130,3.800662345080733e-05
131,3.7480921112849806e-05
132,3.63729242659853e-05
133,3.573816691944861e-05
134,3.6274895743796755e-05
135,3.7474766865367805e-05
136,3.577679149202595e-05
137,3.6573560843559484e-05
138,3.6512545951457774e-05
139,3.622044338650691e-05
140,3.5887406662974776e-05
141,3.531898225143474e-05
142,3.488036304588604e-05
143,3.461153816412358e-05
144,3.420253392505401e-05
145,3.427413556285804e-05
146,3.371641544921052e-05
147,3.295089732091583e-05
148,3.149860238712184e-05
149,3.097784777613318e-05
150,3.069872339741172e-05
151,3.15046980479868e-05
152,3.1906216084583626e-05
153,3.1904663349754024e-05
154,3.203318154495113e-05
155,3.231881472250583e-05
156,3.151562479312512e-05
157,3.1455862047854076e-05
158,3.185773418105479e-05
159,3.0737026918359334e-05
160,3.0453332328761462e-05
161,3.0222365694498876e-05
162,2.9811345105675475e-05
163,3.02139514284742e-05
164,2.9493061750448153e-05
165,2.9217846607328585e-05
166,2.8848797834749956e-05
167,2.924838652991942e-05
168,2.9027065541716485e-05
169,2.8015256096599234e-05
170,2.8593312663360848e-05
171,2.8991857410195127e-05
172,2.8769376588873758e-05
173,2.8183658059788286e-05
174,2.9182278770652676e-05
175,2.816400001393049e-05
176,2.7488773260605132e-05
177,2.6951756808557548e-05
178,2.6893667306164087e-05
179,2.639671235253142e-05
180,2.6827266992768273e-05
181,2.7215700129090692e-05
182,2.7273717932985164e-05
183,2.7320172800197422e-05
184,2.7813738294450257e-05
185,2.774183766026302e-05
186,2.744511455906225e-05
187,2.7250398640414158e-05
188,2.748321670272465e-05
189,2.7549045626074076e-05
190,2.6906049015451572e-05
191,2.6155100082784582e-05
192,2.55817659914707e-05
193,2.5273718620155705e-05
194,2.5477148104376585e-05
195,2.5640824257304e-05
196,2.617258254152451e-05
197,2.5806353354103823e-05
198,2.5130569838438532e-05
199,2.5053337443144603e-05
200,2.5658601695492205e-05
201,2.469628937736464e-05
202,2.506478040231741e-05
203,2.449997812921841e-05
204,2.4220367095040274e-05
205,2.3823163473934983e-05
206,2.4317500371277372e-05
207,2.480640425043627e-05
208,2.434578467121658e-05
209,2.409748966177479e-05
210,2.392755808007981e-05
211,2.2913412749403506e-05
212,2.309578121639788e-05
213,2.279142707569311e-05
214,2.2710084863319935e-05
215,2.3853750046024896e-05
216,2.3735784604165627e-05
217,2.362806109582986e-05
218,2.369908194547558e-05
219,2.367751721976674e-05
220,2.326619892301096e-05
221,2.3125771349441493e-05
222,2.2905262691589694e-05
223,2.2489505378568236e-05
224,2.2274666889643413e-05
225,2.259887446598441e-05
226,2.358847882533155e-05
227,2.3392276186010957e-05
228,2.3501380913633813e-05
229,2.329807315012052e-05
230,2.3809887125025853e-05
231,2.2620306064406275e-05
232,2.1674664973640272e-05
233,2.1701269436865307e-05
234,2.116856978773285e-05
235,2.0886216323863966e-05
236,2.117507540333463e-05
237,2.1934700195439898e-05
238,2.2085964057320478e-05
239,2.1764978138586837e-05
240,2.2218624394554354e-05
241,2.1792191243245423e-05
242,2.1915365967591544e-05
243,2.1819154615817144e-05
244,2.2188766176138113e-05
245,2.1060906722899137e-05
246,2.115700605524277e-05
247,2.1477605741893058e-05
248,2.152737044980313e-05
249,2.1300619929813063e-05
250,2.089287242294328e-05
251,1.9948586555074144e-05
252,1.9888039597996492e-05
253,2.001195745530519e-05
254,1.9774211220161913e-05
255,1.9390859241260234e-05
256,1.910155716207858e-05
257,1.8748131727382617e-05
258,1.8968275526276557e-05
259,1.9662527317147276e-05
260,2.0564962331566978e-05
261,2.0963551946806547e-05
262,2.1217934734825878e-05
263,2.2363841480910196e-05
264,2.1674394323175267e-05
265,2.1029817958151398e-05
266,2.0006429887568327e-05
267,1.999632202872211e-05
268,1.9536945539281685e-05
269,1.9275036493127118e-05
270,1.9079512298958434e-05
271,1.923885398961526e-05
272,1.903969587147003e-05
273,1.934537260694924e-05
274,1.94173691549319e-05
275,1.9542135457110515e-05
276,1.936415098195236e-05
277,1.8868468221929408e-05
278,1.864025152068886e-05
279,1.9034733365212258e-05
280,1.8641591168488958e-05
281,1.8075090300347558e-05
282,1.861103472341104e-05
283,1.8489303859799595e-05
284,1.8593229886694946e-05
285,1.8764108290270087e-05
286,1.9230459770369634e-05
287,1.84370972723021e-05
288,1.8757624047793797e-05
289,1.97710318919538e-05
290,1.9995381686991703e-05
291,1.9927667381125502e-05
292,1.9279412602675922e-05
293,1.889299191285924e-05
294,1.8251634704332293e-05
295,1.792006878531538e-05
296,1.7716659461560386e-05
297,1.8486713922053848e-05
298,1.836572437241557e-05
299,1.821087172023302e-05
300,1.810263563584158e-05
301,1.7802536982950794e-05
302,1.750100610327839e-05
303,1.7450177286567243e-05
304,1.757600424904619e-05
305,1.6865841871549492e-05
306,1.7284982959608897e-05
307,1.7995072804903128e-05
308,1.851764591265237e-05
309,1.8040560955038625e-05
310,1.9354943750234572e-05
311,1.8881760828056333e-05
312,1.8827955803620473e-05
313,1.827797799099547e-05
314,1.7544881719307643e-05
315,1.7413164073332155e-05
316,1.6950666652822594e-05
317,1.6603882916873165e-05
318,1.691489099660733e-05
319,1.6520632395137607e-05
320,1.6452257758222306e-05
321,1.685751366646097e-05
322,1.6765425319438993e-05
323,1.6834653479236295e-05
324,1.620286874034112e-05
325,1.6012746035206266e-05
326,1.6104879894858943e-05
327,1.6038255125749856e-05
328,1.571815941285119e-05
329,1.5610475543326174e-05
330,1.586424427083936e-05
331,1.612557063405499e-05
332,1.5831268683541566e-05
333,1.6061039559644996e-05
334,1.669569443644529e-05
335,1.6871096931936336e-05
336,1.786878393280252e-05
337,1.739161958388043e-05
338,1.7021412456112255e-05
339,1.68874233850147e-05
340,1.67147774921735e-05
341,1.6574778859042755e-05
342,1.587673530896912e-05
343,1.5518654057207943e-05
344,1.517917428373039e-05
345,1.5212321992900494e-05
346,1.5278573566016956e-05
347,1.5194030045980375e-05
348,1.5143406661384992e-05
349,1.542889814724428e-05
350,1.545133087195912e-05
351,1.5600418995139382e-05
352,1.5542880911804485e-05
353,1.5357826024834747e-05
354,1.5618557616411028e-05
355,1.6043293499024003e-05
356,1.5929098367450933e-05
357,1.5763505454439535e-05
358,1.5540664852172387e-05
359,1.5612677164729877e-05
360,1.5548390024378023e-05
361,1.5698723435283075e-05
362,1.547460764565282e-05
363,1.5243043662849232e-05
364,1.4871280503333159e-05
365,1.4308087429526495e-05
366,1.4068223094909627e-05
367,1.4020663911651354e-05
368,1.4531005376738904e-05
369,1.4902713057078168e-05
370,1.5029187920845288e-05
371,1.5147412455007725e-05
372,1.6346316556337115e-05
373,1.6177864419357018e-05
374,1.568190623402188e-05
375,1.5009723332089683e-05
376,1.457536791349412e-05
377,1.4216112958820304e-05
378,1.371674242515534e-05
379,1.362869435676354e-05
380,1.371410269257467e-05
381,1.3326660943372795e-05
382,1.3667635471392714e-05
383,1.3491501097936029e-05
384,1.3581945798553837e-05
385,1.3151302368896722e-05
386,1.3436766304645667e-05
387,1.3417457485805548e-05
388,1.3663222413621648e-05
389,1.4112624872571663e-05
390,1.455908466141409e-05
391,1.482392353106358e-05
392,1.5731707586989312e-05
393,1.5469600119407307e-05
394,1.5679048980625037e-05
395,1.5652966529463203e-05
396,1.484199431918872e-05
397,1.4847018367921313e-05
398,1.4686617229623758e-05
399,1.4251900552153529e-05
400,1.3539325777855993e-05
401,1.3454490878454331e-05
402,1.3137645813306639e-05
403,1.3221799955924022e-05
404,1.2951642967588365e-05
405,1.2907818055888734e-05
406,1.281763782875108e-05
407,1.3079737224567603e-05
408,1.2828421650586582e-05
409,1.251946639513335e-05
410,1.2783799472041816e-05
411,1.2777534683057942e-05
412,1.3095418220624802e-05
413,1.3698872142716331e-05
414,1.4009131367250424e-05
415,1.3839904757636154e-05
416,1.3571014922793742e-05
417,1.3532451210570192e-05
418,1.2714402828351012e-05
419,1.2534200815631872e-05
420,1.3233031684952342e-05
421,1.3383317536863615e-05
422,1.2062297931455154e-05
423,1.2159772116622966e-05
424,1.1926402256297782e-05
425,1.2636394671972084e-05
426,1.2523574355327582e-05
427,1.2299978190336939e-05
428,1.2492549596269479e-05
429,1.2658807463594712e-05
430,1.2738565942527202e-05
431,1.2627606982581105e-05
432,1.2136529979519159e-05
433,1.1748519303485713e-05
434,1.1552193768693542e-05
435,1.1952391976895646e-05
436,1.1720196520551932e-05
437,1.1805840244960564e-05
438,1.2414371478068157e-05
439,1.2604286363663656e-05
440,1.2754990393659682e-05
441,1.2242077673363383e-05
442,1.1901240100087307e-05
443,1.2090723733611716e-05
444,1.2479618173225996e-05
445,1.2558666791543752e-05
446,1.2370661200596563e-05
447,1.2847035804952611e-05
448,1.3320101781270447e-05
449,1.2931943312347963e-05
450,1.2885672883082103e-05
451,1.3067931035948277e-05
452,1.2375887877169589e-05
453,1.2683722388828755e-05
454,1.2654404220787304e-05
455,1.2092841188859893e-05
456,1.1777955705838394e-05
457,1.1876563007717778e-05
458,1.2093074550042123e-05
459,1.1755033009800778e-05
460,1.2051907181861074e-05
461,1.1692834467188126e-05
462,1.1341705203449237e-05
463,1.1309233191999132e-05
464,1.0877251573523003e-05
465,1.1053161415475188e-05
466,1.1252846680539127e-05
467,1.1115383150202737e-05
468,1.0997375928430605e-05
469,1.0880174803181339e-05
470,1.1252743964481246e-05
471,1.105921827123287e-05
472,1.0809173602410738e-05
473,1.0354694438774459e-05
474,1.0244633055359978e-05
475,1.0176928261292536e-05
476,1.0756277049495111e-05
477,1.0857444825281467e-05
478,1.1099998819948572e-05
479,1.1264459563638715e-05
480,1.1140423074114855e-05
481,1.106245163858451e-05
482,1.1275243404422023e-05
483,1.1078661335280534e-05
484,1.1225517217402134e-05
485,1.1421956855883764e-05
486,1.138291522314224e-05
487,1.1038085953411306e-05
488,1.071697943189065e-05
489,1.1214664330812715e-05
490,1.1114485384193054e-05
491,1.0910243399090783e-05
492,1.1298764244808504e-05
493,1.1598188507377927e-05
494,1.1583174947797184e-05
495,1.1662686479970338e-05
496,1.1071003863586762e-05
497,1.1064598140819726e-05
498,1.0778138459954789e-05
499,1.1005173727577736e-05
